main_compounds_id,main_receptors_id,responsive,data_quality,sample_weight
66,272,1,ec50,1.0
66,418,1,ec50,1.0
66,412,1,ec50,1.0
66,253,0,ec50,1.0
66,177,1,ec50,1.0
66,11,0,ec50,1.0
66,2,0,ec50,1.0
66,949,1,ec50,1.0
66,950,1,ec50,1.0
66,951,0,ec50,1.0
222,234,0,ec50,1.0
222,538,0,ec50,1.0
222,51,1,ec50,1.0
222,449,1,ec50,1.0
222,539,1,ec50,1.0
222,556,1,ec50,1.0
222,554,1,ec50,1.0
222,339,1,ec50,1.0
301,1237,0,ec50,1.0
301,1239,1,ec50,1.0
301,1238,0,ec50,1.0
301,1243,0,ec50,1.0
301,1240,1,ec50,1.0
301,1241,1,ec50,1.0
301,1242,1,ec50,1.0
301,1051,1,ec50,1.0
345,283,1,ec50,1.0
345,51,1,ec50,1.0
345,449,1,ec50,1.0
345,539,1,ec50,1.0
216,85,0,ec50,1.0
69,353,0,ec50,1.0
69,272,0,ec50,1.0
69,418,0,ec50,1.0
69,412,0,ec50,1.0
69,253,0,ec50,1.0
69,177,0,ec50,1.0
69,11,1,ec50,1.0
69,2,1,ec50,1.0
69,949,0,ec50,1.0
69,951,1,ec50,1.0
621,168,1,ec50,1.0
348,51,1,ec50,1.0
348,449,1,ec50,1.0
348,539,1,ec50,1.0
29,9,0,ec50,1.0
29,8,0,ec50,1.0
29,5,0,ec50,1.0
29,4,0,ec50,1.0
29,10,1,ec50,1.0
223,234,1,ec50,1.0
223,538,0,ec50,1.0
223,558,0,ec50,1.0
187,51,1,ec50,1.0
187,449,1,ec50,1.0
187,539,0,ec50,1.0
194,111,1,ec50,1.0
194,29,1,ec50,1.0
65,353,1,ec50,1.0
65,272,1,ec50,1.0
65,418,1,ec50,1.0
65,412,1,ec50,1.0
65,253,0,ec50,1.0
65,177,1,ec50,1.0
65,51,1,ec50,1.0
65,449,1,ec50,1.0
65,539,0,ec50,1.0
65,11,0,ec50,1.0
65,2,0,ec50,1.0
65,949,1,ec50,1.0
65,950,1,ec50,1.0
65,951,0,ec50,1.0
603,168,1,ec50,1.0
395,29,0,ec50,1.0
617,168,1,ec50,1.0
93,481,0,ec50,1.0
93,51,1,ec50,1.0
93,449,1,ec50,1.0
93,539,1,ec50,1.0
93,207,0,ec50,1.0
73,353,1,ec50,1.0
73,272,1,ec50,1.0
73,418,1,ec50,1.0
73,412,1,ec50,1.0
73,253,0,ec50,1.0
73,177,1,ec50,1.0
73,11,0,ec50,1.0
73,2,0,ec50,1.0
73,949,1,ec50,1.0
73,950,1,ec50,1.0
73,951,1,ec50,1.0
682,283,1,ec50,1.0
686,283,1,ec50,1.0
450,1124,0,ec50,1.0
450,1137,0,ec50,1.0
450,1125,0,ec50,1.0
450,1149,1,ec50,1.0
450,284,0,ec50,1.0
450,1145,0,ec50,1.0
450,1114,0,ec50,1.0
450,591,0,ec50,1.0
450,1123,0,ec50,1.0
450,51,0,ec50,1.0
450,1147,0,ec50,1.0
450,1134,0,ec50,1.0
450,1146,0,ec50,1.0
450,1117,0,ec50,1.0
450,1136,0,ec50,1.0
450,1128,0,ec50,1.0
450,1112,1,ec50,1.0
450,1116,1,ec50,1.0
450,1129,0,ec50,1.0
450,1139,0,ec50,1.0
450,447,0,ec50,1.0
450,1143,0,ec50,1.0
450,1144,0,ec50,1.0
450,88,0,ec50,1.0
450,1110,0,ec50,1.0
450,1133,0,ec50,1.0
450,1141,0,ec50,1.0
450,1155,0,ec50,1.0
450,1107,0,ec50,1.0
450,25,0,ec50,1.0
450,1151,0,ec50,1.0
450,1127,0,ec50,1.0
450,1156,0,ec50,1.0
450,1118,0,ec50,1.0
450,1113,1,ec50,1.0
450,1157,0,ec50,1.0
450,1148,0,ec50,1.0
450,1138,0,ec50,1.0
450,323,0,ec50,1.0
450,1152,0,ec50,1.0
450,1142,0,ec50,1.0
450,1140,0,ec50,1.0
450,1126,1,ec50,1.0
450,29,0,ec50,1.0
450,1115,1,ec50,1.0
450,1111,0,ec50,1.0
450,1121,0,ec50,1.0
450,1131,0,ec50,1.0
450,1132,0,ec50,1.0
450,168,0,ec50,1.0
450,1135,0,ec50,1.0
450,1158,0,ec50,1.0
450,1119,0,ec50,1.0
450,1154,0,ec50,1.0
450,2,0,ec50,1.0
450,1130,0,ec50,1.0
450,1153,0,ec50,1.0
450,1150,0,ec50,1.0
450,962,0,ec50,1.0
450,1122,0,ec50,1.0
450,1120,0,ec50,1.0
450,1109,0,ec50,1.0
478,1124,0,ec50,1.0
478,1137,1,ec50,1.0
478,1125,1,ec50,1.0
478,1149,1,ec50,1.0
478,284,0,ec50,1.0
478,1145,0,ec50,1.0
478,1114,0,ec50,1.0
478,591,0,ec50,1.0
478,1123,0,ec50,1.0
478,51,0,ec50,1.0
478,1147,0,ec50,1.0
